queryType,question,answer
Government Schemes,"TELL ME ABOUT PMKISAN SAMMAN NIDHI YOJANA APPLICATION  STATUS ?
","Ganga Mandal, your application has been canceled by ADM (Revenue). Remark: Rent Not Updated "
Government Schemes,GOVT SCHEME,#NAME?
"	Plant Protection	",plant protection related query,Make a slurry in 2 grams per liter of water. 
Government Schemes,Pm kisan samman nidhi yojna related query,"-  Shrikrishn Singh, your application has been forwarded to the Government of India from the headquarters level 4/4/2019 5:33:07 PM. Please see https://pmkisan.gov.in/beneficiarystatus.aspx link to know further status "
Government Schemes,"TELL ME ABOUT PM-KISAN SAMMAN NIDHI YOJNA HELP LINE NUMBER ?
","Contact number of Prime Minister Farmer Honor Fund Scheme = 011-23382401, 011-23381092 "
Government Schemes,TELL ME CONTACT NUMBER OF DBT PORTAL   BIHAR SATE INFORMATION ?,Contact number for information about Bihar State DBT portal = 0612 - 2233 555 
Government Schemes,TELL ME ABOUT INFORMATION OF KCC RELATED  ?,You can file your complaint in the District Level Bank branch of Bank Branch to register a complaint or for information related to farmers credit card. 
Mushroom Production,query related to mushroom production,Contact the Agriculture Science Center for Training. 
Government Schemes,kvk related to query,Farmer brother you contact KVK 
Government Schemes,Pradhan Mantri Kisan Samman Nidhi Yojna related query,"Application ID: Re-PMKISAN546853 Applicant Name: Sohila Devi  Sohila Devi, your application is pending near the district agricultural office. "
Government Schemes,Pradhan Mantri Kisan Samman Nidhi Yojna related query,"Contact at the help of the Prime Minister Farmer Honor Fund Scheme: - 0120-6025109, 011-24300606, 011-23381092. From 10 am to 4 o'clock (from Monday to Friday) / Toll Free Number 155261 "
"	Plant Protection	",mango plant of plant protection information,- Capper oxycloride 50 percent of 3.0 kg of W.P.P.P.P. per hectare should be sprayed in approximately 600 to 750 liters of water. 
"	Plant Protection	",Plant protection related query,--N: P: K 19:19:19 @ 5 ml / liter spray in water 
Government Schemes,Pm kisan samman nidhi yojna related query,"- Prime Minister Kisan Honor Fund Scheme Help Line No. 01123381092, 011-24300606, 06122233555 "
Government Schemes,Query ABOUT Pradhan Mantri KIsan SAmman Nidhi Yojna Help LINE number Help line number,"- Presence Minister Farmer Honor Fund Scheme Help Line No. 01124300606, 01123381092 Email: "
Cultural Practices,okra cultural practices related query,Deepla 45 Sanm in the rows And in the plants 15-20 Sanm. should keep. 
Government Schemes,"Farmer Application Status Farmer Name : SANTOSH SHAHI
",PFMS / Bank status: Farmer records have been accepted by PFMS / Bank: base status is verified 
Government Schemes,Information about Prime Minister Kisan Samman Nidhi Scheme,"Help Line Number of Prime Minister Agriculture Fund Scheme: - 011-23381092,0112315526. "
Government Schemes,"TELL ME ABOUT PMKISAN SAMMAN NIDHI YOJANA APPLICATION  STATUS ?
","If your PM is not coming to the farmer or registration of a farmer's honor fund scheme, then you contact the nodal officer in your block "
Government Schemes,"Check Application Status for PM-KISAN
",#NAME?
"	Plant Protection	","mango problem 
","Potash 30 kg per acre is needed 30 kg per acre in the form of nitrogen 27 kg, single super phosphate in the form of urea for mango cultivation. 1-3 year plants or trees of rudi fertilizer 5-20 kg, urea 100-200 grams, Single Super Fasfate 250-500 grams and Murate of Potash 175-350 grams per tree. Rudy manure 25 kg, urea 200-400 grams for 4-6 year plants or trees, Single Super Fasfate 500-700 grams and Murate of Potash 350-700 grams per tree.
 
Use for 7-9 year old plants or tree fertilizer 60-90 kg, Urea 400-500 grams, Single Super Fasfate 750-1000 grams and Murate of Potash 700-1000 grams per tree. Plants or trees of more than 10 years, 100 kg, urea 400-500 grams, Single Super Fasfate 1000 grams, Murate of Potash 1000 grams per tree. Put the nitrogen and potash in the month of February, while putting the compost and single superfault in December month only.
 
Many times due to the change of the weather, the fruit starts flowering, if the fruit appears, spray 10 grams per liter of 13:00:45. To save the plants from polyethylene sheets to protect the effects of temperature. Time of flowers for good flowers and yields 00:52:34 to 150 grams of 150 grams of spray twice on 8 days.
It will help prevent flowers of flowers. "
Government Schemes,"
TELL ME ABOUT BIHAR STATE GOV. SCHEME  ?
",PM farmer honor fund helpline number Bihar - 0612 2233555 Official website made by Bihar Government https://dbtagriculture.bihar.gov.in/ Link. 
Government Schemes,TELL ME ABOUT BIHAR STATE GOV. SCHEME ?,Helpline Number Bihar - 0612 2233555 Official website created by Bihar Government https://dbtagriculture.bihar.gov.in/ Link. 
"	Plant Protection	",plant protection related query,Mix me in 2 grams / liters spray 
Credit,Kisan credit card information,"Kisan Credit Card (K C C) For more information, you must contact your bank manager once you contact your District Agriculture Officer "
"	Plant Protection	","plant protection related to query
","2,4-d @ 2 ML sprayed in water per liter. "
Government Schemes,Pradhan Mantri KIsan SAmman Nidhi Yojna related to query,Cooperative Bears Help Line Number-0612-223355  DBT Cell Agri@gmail.com 
Government Schemes,Pradhan Mantri Kisan Samman Nidhi Yojna related query,dbtagriculture.bihar.gov.in  Check the status of your application by visiting this website 
Government Schemes,"Pradhan Mantri Kisan Samman Nidhi Yojna related query

","Contact at the help of the Prime Minister Farmer Honor Fund Scheme: - 0120-6025109, 011-24300606, 011-23381092. From 10 am to 4 o'clock (from Monday to Friday) / Toll Free Number 155261 "
Government Schemes,Pradhan Mantri KIsan Samman Nidhi Yojna related query,Use 0612 2233555 for technical problem. 
Government Schemes,"Pradhan Mantri Kisan Samman Nidhi Yojna related query
","Kisan Bhai, you should contact the District Agriculture Officer here. "
Government Schemes,Query ABOUT Pradhan Mantri KIsan SAmman Nidhi Yojna Help LINE number Help line number,"---- Prime Minister Farmer Honor Fund Scheme Help Line No. 01124300606, 01123381092 Email: "
Government Schemes,Pradhan Mantri KIsan Samman Nidhi Yojna related query,"Farmers, please contact Basuda Kendra "
Government Schemes,seed  Subsidy scheme Related query,Contact DBT Helpline Number -0612-2233555 
Crop Insurance,Information about crop insurance ?,Mr. Ji can be insured by contacting the nearest bank from the CHC Center to insure its crop through the Prime Minister Crop Insurance Scheme. 
Government Schemes,Information about Prime Minister Kisan Samman Nidhi Scheme,"-  Rajan Kumar, your application enabled authority has been forwarded to verification from Panchayat level (zonal officer). "
Government Schemes,Information about PM kisan samman nidhi yojana ?,"For more information related to the Mr. Prime Minister Farmer Honor Scheme, please contact the agricultural coordinator in the Agriculture Department on your block. "
Government Schemes,krishi input anudan related  query,"Crop Bima Helpline Number 18003456290,061222006930 "
Government Schemes,TELL ME ABOUT CONTACT NUMBER KVK UJWA   DELHI  ?,"Agricultural Science Center, Ujwa, Delhi Contact Details Dr. Pramod Kumar Gupta, Head KVK, Contact No.: + 91-8888867619  Landline number 9667971155 "
Government Schemes,"Pradhan Mantri Kisan Samman Nidhi Yojna related query
","Contact at the help of the Prime Minister Farmer Honor Fund Scheme: - 0120-6025109, 011-24300606, 011-23381092. From 10 am to 4 o'clock (from Monday to Friday) / Toll Free Number 155261 "
Nutrient Management,Nutrient management related query,NPK (19:19:19) Sprinkle 3 grams / liters 
Vegetative Propagation and Tissue Culture,planting time related query,Now you can transplant 
Government Schemes,"Check Application Status for PM-KISAN
",#NAME?
Government Schemes,Government Schemes,"- Helpless number of cooperative council assistance  (0612) -2200693, 1800-345-6290 "
Government Schemes,Government Schemes,"- Helpless number of cooperative council assistance  (0612) -2200693, 1800-345-6290 "
Crop Insurance,CROP INSURANCE RELATED QUERY,"Help line number  Dial (0612) -2200693,  1800-345-6290 "
Government Schemes,Pradhan Mantri KIsan SAmman Nidhi Yojna,"Prime Minister Kisan Honor Fund Scheme Help Line No. 1800115526; 01123382401, 01123381092 "
Government Schemes,Krishi input Subsidy related query,Farmers can contact the help line of D. V. T. Portal at 0612-2233555. From 10 am to 6 o'clock (from Monday to Friday) 
Government Schemes,PRADHAN MANTRI KISAN SAMAN NIDHI YOJANA RELATED QUERY,District Agriculture Officer will be related to the written application. 
Government Schemes,GOVT SCHEME,Contact the name of the scheme again. 
Weather,Farmer asked query on Weather,"There is no possibility of rain in your area, partly cloudy will remain. The maximum temperature of tomorrow is likely to run the maximum temperature (25 Digsius and minimum temperature 13 degrees Celsius and air speed 7 kilometers per hour) "
"	Plant Protection	",Poor growth in croup,N.P.K. for the vegetative growth of the crop Sprinkle by making a solution in 120 liters of water at the rate of 1 kilogram per acre. 
Government Schemes,TELL ME ABOUT PM  KISAN STATUS INFORMATION  ?,"Under the Prime Minister's Farmer Honor Fund Scheme, you do not have your base number. Please enter your base number from the CSC Center / Public Information Center or PM Farmer Portal and enter the detail. "
Government Schemes,"TELL ME ABOUT PM KISAN STATUS INFORMATION ?
",Your two installments have come to your account under the Prime Minister Farmer Honor Fund Scheme. To get the forthcoming installment 
Government Schemes,GOVERNMENT  SCHEME  IN  RELATED  QUERY,If you contact in Lic Office 
Government Schemes,co-operative relative query,Contact the helpline number of Cooperative Department - 0612-2200693 
Government Schemes,TELL ME ABOUT PMKISAN STATUS ?,"Application ID: Re-PMKISAN799928 Applicant Name: Kailash Yadav  Kailash Yadav, your application is pending with ADM (Revenue). "
Government Schemes,Pradhan Mantri Kisan Samman Nidhi Yojna related query,"Help Line Number of Prime Minister Agriculture Fund Scheme: - 011-23381092,011-23382401 "
Government Schemes,Edit kissan registration,#NAME?
Government Schemes,GOVERNMENT  SCHEME  IN  RELATED  QUERY,"Farmer Brother, you should contact the District Agriculture. "
Government Schemes,Agricultural INPUT scheme Subsidy Related query,Use 0612 2233555 for information about agricultural input scheme.  Give you written application to your district agricultural office! 
Cultural Practices,Irrigation management of mustard related query,Do not irrigate while becoming flower. 
Government Schemes,COOPERATIVE DEPARTMENT RELATED QUERY,"--Help Line Number  Dial (0612) -2200693,  1800-345-6290 "
Market Information,Farmer want to sale paddy,DISTRICT CO-OPERATIVE OFFICERS  SHIRI SANTOSH KUMAR JHA SIWAN 9708424511  District Agricultural Officer's Mobile No. 9431818739 
Government Schemes,INFORMATION ABOUT BIHAR AG. GOV.SCHEMES,"For a grant information, if you dial in your Agriculture Department or if you dial from Bihar's SIM, then your call will be available in the Bihar farming call center. "
Government Schemes,Pradhan Mantri Kisan Samman Nidhi Yojna related query,"Contact the Prime Minister Farmer Honor Fund Scheme's Help Line Number: - 011-23382401, 011-23381092. From 10 am to 5 o'clock (from Monday to Friday) "
Government Schemes,"Pradhan Mantri Kisan Samman Nidhi Yojna;
",Question PM Farmer - 01123382401/01123381092 
Government Schemes,"PM KISAN SAMMAN NIDHI SCHEME     
HELP LINE NUMBER","PM Kisan Samman Nidhi Scheme  Help line number  01124300606  - PM Farmer Help Line Number: - 013381092,011-23381092,011-23382401  Email: pmkisan-hqrs@gov.in  Email (pmkisan-ict@gov.in) "
Government Schemes,PM KISAN SAMMAN NIDHI SCHEME,Aadhar status: aadhar number is not verified  You contact Vasudha center 
Government Schemes,Tell me about pm kisan scheme information ?,PM Farmer Honor Fund Scheme I have not received your application I have your base card verification because your installment has been stopped. 
Government Schemes,Cooperative dept of Bihar helpline no.,"Cooperative Department's Help Line Number (0612) -2200693, 1800-345-6290 "
Government Schemes,Pm kisan samman nidhi yojna related query,"Shrikrishn Singh, your application has been forwarded to the Government of India from the headquarters level 4/4/2019 5:33:07 PM. Please see https://pmkisan.gov.in/beneficiarystatus.aspx link to know further status "
Government Schemes,COOPERATIVE DEPARTMENT HELP LINE  NUMBER,"--Http: //cooperative.bih.nic.in For any technical question in filling the form of FASAL BIMA yojna-form filling FASAL BIMA YOJNA-Form Contact Kisanreghelp@gmail.com or Mr. Nitin at M-8877225693 Toll Free No. 1800-345-6290, 0612-2200693 "
Government Schemes,pm kisan samman nidhi yojana related query,#NAME?
Government Schemes,COOPERATIVE DEPARTMENT HELP LINE  NUMBER,"http://cooperative.bih.nic.in For Any Technical Question in Filling Form Contact Kisanreghelp@gmail.com or Mr. Nitin at M-8877225693 Toll Free No. 1800-345-6290, 0612-2200693 "
Government Schemes,pm kisan samman nidhi yojna,Prime Minister Kisan Honor Fund Center No. 011- 23381092 OR 1800115526 OR 011-24300606 at 10 o'clock at 10 pm from Monday to 5 pm 
Credit,make the kisan credit card,For farmer credit card you can apply online from Vasudha Center 
Weather,Farmer asked query on Weather,"Weather Forecast Name of the district is Sivan and Siwan Block - There is no possibility of rain in 5 days, but will be partially cloudy. Tomorrow's maximum temperature (18.6 ° C and minimum temperature is 7.2 ° C and the speed of wind is likely to walk 11 kilometers per hour. "
"	Plant Protection	",plant protection,Sprinkle neem oil @ 3 ml / mixed in one liter water. 
Fertilizer Use and Availability,fertilizer use in cauliflower crop,Sprinkle you by making a slurry in Sagarika Multi Micro Nutrients @ 2 Found / liters 
Government Schemes,* PM-Kisan Samman Nidhi Yojna(Re-Consider Form),Hatap: //tabrichalchar. Bihar. Gov.in / Pinkisan 
Government Schemes,DBT related problem,#NAME?
Government Schemes,GOVERNMENT  SCHEME  IN  RELATED  QUERY,CSC / Basuda Contact Center 
Government Schemes,Krishi input anudan (KHARIF) related quary,Contact your farmer consultant for agricultural input grants 
Crop Insurance,COOPERATIVE DEPARTMENT HELP LINE  NUMBER,"--Http: //cooperative.bih.nic.in For any technical question in filling the form of FASAL BIMA yojna-form filling FASAL BIMA YOJNA-Form Contact Kisanreghelp@gmail.com or Mr. Nitin at M-8877225693 Toll Free No. 1800-345-6290, 0612-2200693 "
Government Schemes,"Information regarding PM Kisan Saman Nidhi Yojna?
",- Contact your Agriculture Development Officer and the Authority and Register on www.pmkisan.gov.in or contact it at 155261/1800165626 or 011-1800165626 or 011-24300606 
Government Schemes,Kisan credit card related query,Contact the bank bank 
Varieties,#NAME?,#NAME?
Government Schemes,Pm kisan samman nidhi yojana related query,- Check the status of application - https://dbtagriculture.bihar.gov.in 
Government Schemes,PM KISAN SAMMAN NIDHI YOJNA RELATED QUERY,#NAME?
Government Schemes,PM KISAN SAMMAN NIDHI YOJNA RELATED QUERY,#NAME?
Government Schemes,"Information regarding the Helpline number for Pradhan mantri kisan samman nidhi yojana ?
","- For more information about the Prime Minister Kisan Honor Fund Scheme, contact its helpline number 011-24300606 "
Credit,kcc related query,For farmer credit card you can apply online from Vasudha Center 
Cultural Practices,Sowing distance  related query,You can turn around 45 * 30 semi of Bhindi 
Fertilizer Use and Availability,THAYO UREA RELATED QUERY,Contact Fertilizer Shop 
Government Schemes,GOVERNMENT  SCHEME  IN  RELATED  QUERY,- Check the status of the application - https://dbtagriculture.bihar.gov.in  You can contact Block Agriculture Coordinator 
Government Schemes,P M Kisan samman nidhi yojna,- Farmer Honor Fund Scheme Helpline Number - 0113382401/011 23381092 
Government Schemes,pm kisan samman nidhi yojna,ENTER APPLICATION NUMBER:  2181240311114  Searched records  Maina Devi Your application has been canceled by the Panchayat level by enabled authority. Remark: Not Farmer  PM-Kisan Helpline Number - Prime Minister Kisan Honor Negative Center No. 011- 23381092 OR 1800115526 OR 011-24300606 at 10 o'clock at 10 o'clock at 10 o'clock on Saturday. 
Government Schemes,"Check Application Status for PM-KISAN(Reconsider)
","Dabloo Kumar Chaube, Your application has been canceled by the district agricultural office bearing. Remark: Applicant is not eligible for scheme "
Government Schemes,Fasal Bima Yojna or cooperative Department contact details,"http://cooperative.bih.nic.in  For information related information, you should contact the block cooperative office.  For any technical question to fill Fasal Bima Yojna-form, contact Kisanreghelp@gmail.com or Mr. Nitin at M-8877225693 Toll Free No. 1800-345-6290, 0612-2200693 "
Government Schemes,PM KISAN SAMAN NIDHI YOJANA RELATED QUERY,"- Presence Minister Farmer Honor Fund Scheme HELP LINE NO.- 01123381092,01123382401 "
Cultural Practices,cultural practices,#NAME?
Government Schemes,input subsidy money problem,#NAME?
Government Schemes,Dbt registration Related query,"Contact the problem of DBT, 0612-2233555 for resolving "
Government Schemes,Government Subsidy Related query,Contact the agricultural coordinator. 
Cultural Practices,Farmer ask about sowing time of zaid crop,"Farmer Bhai has not been a suitable time for the harvest crop, so start its transplantation from the first week of January or the first week of February. "
Government Schemes,Cooperative dept of Bihar helpline no.,"Cooperative Department's Help Line Number (0612) -2200693, 1800-345-6290 "
Agriculture Mechanization,AGRICULTURE ELECTRICITY CONNECTION QUARY,CSC / Basuda Contact Center 
Government Schemes,Cooperative dept of Bihar helpline number,"http://cooperative.bih.nic.in For Any Technical Question in Filling Form Contact Kisanreghelp@gmail.com or Mr. Nitin at M-8877225693 Toll Free No. 1800-345-6290, 0612-2200693 "
Government Schemes,REGISTRATION DETAILS,Registration Number: 2181242863548 
Government Schemes,GOVERNMENT SCHEME  quary,CSC / Basuda Contact Center 
Government Schemes,PM KISAN SAMAN NIDHI YOJANA RELATED QUERY,Haquenawaz Alam Your application has been canceled by the Panchayat level by enabled authority. Remark: Applicant Were Not Found at Home During Verification 
Government Schemes,Check application Status of  Pradhan Mantri Kisan Samman Nidhi Yojna,Check the state of application for --pm-kisan https://dbtagriculture.bihar.gov.in 
Fishing Harbours and Landing Centre,fish query,Fisheries Bihar Government 18003456185 
Government Schemes,government schemes,#NAME?
Crop Insurance,Cooperative dept of Bihar helpline number,"http://cooperative.bih.nic.in For Any Technical Question in Filling Form Contact Kisanreghelp@gmail.com or Mr. Nitin at M-8877225693 Toll Free No. 1800-345-6290, 0612-2200693 "
Government Schemes,"TELL ME ABOUT PM KISAN SAMMAN YOGNA ?
",Hansnath Sharma Your application has been canceled by the Panchayat level by enabled authority. Remark: Not Visible Receipt 
Government Schemes,"TELL ME PRADHAN MANTRI KISAN SAMMAN NIDHI  YOJANA INFORMATION ?
","Under the PM Farmer Scheme, your 6 installment has come to contact Block Office Office for more information "
Government Schemes,FARMER ASKING ABOUT PM KISAN SAMMAN NIDHI SCHEME?,"For more information about the Prime Minister Kisan Sanman Didhi Scheme, please call Bihar's SIM card thanks "
"Tank, Pond and Reservoir Management","fish query
","Fishing helpline number -0612-2227451,18004251660 "
Government Schemes,TELL ME ABOUT PMKISAN STATUS ?,"For more information in the application of your PM farmer's honor fund scheme, contact the Block Office Office  06122233555 "
Government Schemes,GOVERNMENT SCHEME  quary,You can contact your Agriculture Coordinator or District Agriculture Officer 
"	Plant Protection	",Yellowing of leaf /Rotting problem,- In somebody @ 2 grams per litter water sprayed! 
Government Schemes,pm kisan samman nidhi yojna,Prime Minister Kisan Honor Nidhi Center No. 011-3381092 OR 1800115526 OR 011-24300606 at 10 o'clock at 10 o'clock at 10 o'clock on Saturday at 10 o'clock. 
Government Schemes,Pradhan Mantri KIsan Samman Nidhi Yojna related query,Prime Minister Kisan Honors Wait for about 3 months in the bank update of the fund scheme  www.dbtagriculture.bihar.gov.in 
"	Plant Protection	",Prevention of nilgai (blue bull) in Potato,"In order to protect the crops from Nilgai in Kisan Bhai Potato, sprinkle it in 10 ml per liter of water and make a rotation of rotten eggs by mixing it in water or sprinkle it in the water. Use the wire or the spraying of the drug called Tar on your crops or use the bio-escogic tool to remove electricity. "
Government Schemes,PRADHAN MANTRI KISAN SAMAN NIDHI YOJANA RELATED QUERY,"Pt-farmer helpline 011-24300606, 011 23381092 "
Government Schemes,Check application Status of  Pradhan Mantri Kisan Samman Nidhi Yojna,Check the state of application for --pm-kisan https://dbtagriculture.bihar.gov.in 
Nutrient Management,Nutrient management query,"To take good yields, 5-7 grams soluble for more flowers (19:19:19) per ltd. Use. 4-5 grams after 40 days of transplantation 12: 16: 0, Nitrogen and Phasphorus, 2.5-3 grams of small elements and 1 gram Boron Copy. Sprinkle "
Fertilizer Use and Availability,fertilizer dose query,"For the last time, mix Rudi's manure to 10 tons per acre soil at the time of persecution. Use the amount of nitrogen 25 kg (55 kg urea), phosphorus 25 kg (155 kg Single Super Fasfate) and Potash 12 kg (20 kg of Murate of Potentials). Insert the entire amount of phosphorus, potash and nitrogen to apply in Paneer's farm. Put 25 kg nitrogen per acre after two craze. "
Government Schemes,PM KISAN SAMAN NIDHI YOJANA RELATED QUERY,Mithlesh Kumar Yadav Your application has been canceled by the Panchayat level by the enabled authority. Remark: Applicant is unmarried. 
Government Schemes,PM KISAN SAMAN NIDHI YOJANA RELATED QUERY,"Application ID: Re-PMKISAN976135 Applicant Name: Mithlesh Kumar Yadav  Mithlesh Kumar Yadav, your application has been canceled by the district agricultural office bearer. Remark: Applicant is not eligible for scheme "
Government Schemes,GOVERMENT SCHEME QUARY,CSC / Basuda Contact Center 
Government Schemes,Government Schemes,Farmer Brother You can see at www.dbtagriculture.bihar.gov.in for information about the scheme of Agriculture Department. 
"	Plant Protection	","
DISEASE PROBLEM 
","For the problem of melting in the plant, Copper Oxicloride 2 grams 1 liters of water is sprayed on the plant. "
Government Schemes,Pradhan Mantri KIsan Samman Nidhi Yojna Related query,The receipt of the land can take advantage of the same PM farmer. 
Government Schemes,"TELL ME PM KISAN REGISTRATION STATUS   INFORMATION   ?
","For more information about the PM farmer's fund scheme, please contact the Nodal Officer in your block "
Government Schemes,"PRADHAN MANTRI KISAN SAMAN NIDHI YOJANA RELATED QUERY
","Prime Minister Farmer Honor Fund Scheme Help Line No. 01123382401, 01123381092,1800115526, "
Government Schemes,Farmer asked pradhanmantri kisan samman nidhi yojna late payment information,"Gulshan Kumar, your application enabled authority has been forwarded to verification from Panchayat level (zonal officer). "
Government Schemes,GOVERMENT SCHEME RELATED QUERY,Helpline number for crop insurance - 06122200693 
Government Schemes,GOVERMENT SCHEME QUERY,"Farmer Brother, you should contact the District Agriculture. "
Government Schemes,"
Agricultural INPUT scheme Subsidy Related query   

",Use 0612 2233555 for information about agricultural input scheme. 
Government Schemes,Kisan credit card related Query,#NAME?
Government Schemes,GOVERMENT SCHEME QUERY,You can contact your Agriculture Coordinator or District Agriculture Officer 
Government Schemes,Kisan credit card related Query,Contact the bank for farmer credit card 
Government Schemes,FARMER ASKING ABOUT PM KISAN SAMMAN NIDHI SCHEME?,PM farmer has to be the name of the documents of farming to take advantage of the Fund Scheme. 
Government Schemes,Farm Mechanization online details,"--www.dbtagriculture.bihar.gov.in  Kindly Contact for Any Query  Contact Details  1 Name: -ravi Shankar Prasad, Programmer  Mobile No.: 9835198654  Email: -stenodalmec18@gmail.com  2 Name: -Brijendra Nath, Programmer  MOBILE No.: 9386140408  Email: -steno"
Government Schemes,Farm Mechanization online details,"--www.dbtagriculture.bihar.gov.in  Kindly Contact for Any Query  Contact Details  1 Name: -ravi Shankar Prasad, Programmer  Mobile No.: 9835198654  Email: -stenodalmec18@gmail.com  2 Name: -Brijendra Nath, Programmer  MOBILE No.: 9386140408  Email: -steno"
